*-------------------------------------------------------------*
* Name:                                                       *
*     MIB_DESC DATA                                           *
*                                                             *
* Copyright:                                                  *
*  Licensed Materials -- Property of IBM                      *
*  This product contains "Restricted Materials of IBM"        *
*  5735-FAL (C) Copyright IBM Corporation 1992.               *
*  5655-HAL (C) Copyright IBM Corporation 1992, 1994.         *
*  All rights reserved.                                       *
*  US Government Users Restricted Rights -                    *
*  Use, duplication or disclosure restricted by GSA ADP       *
*  Schedule Contract with IBM Corp.                           *
*  See IBM Copyright Instructions.                            *
*                                                             *
* Function:                                                   *
*     Defines MIB variables for SNMP                          *
*                                                             *
* Notes:                                                      *
*     - MIB variables as listed in RFC 1066                   *
*     - MIB variables as listed draft MIB II                  *
*     - IBM entreprise variables in Research tree             *
*     - $01 add variables for Remote Ping                     *
*-------------------------------------------------------------*
* MIB Variable name | ASN.1 notation        | Type     | TTL  *
*-------------------------------------------------------------*
MIBII                   1.3.6.1.2.1.            table           0
system                  1.3.6.1.2.1.1.          table           0
sysDescr                1.3.6.1.2.1.1.1.        display         900
sysObjectID             1.3.6.1.2.1.1.2.        object          900
sysUpTime               1.3.6.1.2.1.1.3.        ticks           1
sysContact              1.3.6.1.2.1.1.4.        display         900
sysName                 1.3.6.1.2.1.1.5.        display         900
sysLocation             1.3.6.1.2.1.1.6.        display         900
sysServices             1.3.6.1.2.1.1.7.        number          900
interfaces              1.3.6.1.2.1.2.          table           0
ifNumber                1.3.6.1.2.1.2.1.        number          900
ifIndex                 1.3.6.1.2.1.2.2.1.1.    number          900
ifInOctets              1.3.6.1.2.1.2.2.1.10.   counter         1
ifInUcastPkts           1.3.6.1.2.1.2.2.1.11.   counter         1
ifInNUcastPkts          1.3.6.1.2.1.2.2.1.12.   counter         1
ifInDiscards            1.3.6.1.2.1.2.2.1.13.   counter         1
ifInErrors              1.3.6.1.2.1.2.2.1.14.   counter         1
ifInUnknownProtos       1.3.6.1.2.1.2.2.1.15.   counter         1
ifOutOctets             1.3.6.1.2.1.2.2.1.16.   counter         1
ifOutUcastPkts          1.3.6.1.2.1.2.2.1.17.   counter         1
ifOutNUcastPkts         1.3.6.1.2.1.2.2.1.18.   counter         1
ifOutDiscards           1.3.6.1.2.1.2.2.1.19.   counter         1
ifDescr                 1.3.6.1.2.1.2.2.1.2.    display         900
ifOutErrors             1.3.6.1.2.1.2.2.1.20.   counter         1
ifOutQLen               1.3.6.1.2.1.2.2.1.21.   gauge           1
ifSpecific              1.3.6.1.2.1.2.2.1.22.   object          900
ifType                  1.3.6.1.2.1.2.2.1.3.    number          900
ifMtu                   1.3.6.1.2.1.2.2.1.4.    number          900
ifSpeed                 1.3.6.1.2.1.2.2.1.5.    gauge           900
ifPhysAddress           1.3.6.1.2.1.2.2.1.6.    string          900
ifAdminStatus           1.3.6.1.2.1.2.2.1.7.    number          10
ifOperStatus            1.3.6.1.2.1.2.2.1.8.    number          3
ifLastChange            1.3.6.1.2.1.2.2.1.9.    ticks           1
at                      1.3.6.1.2.1.3.          table           0
at_table                1.3.6.1.2.1.3.1.1.      table           0
atIfIndex               1.3.6.1.2.1.3.1.1.1.    number          900
atPhysAddress           1.3.6.1.2.1.3.1.1.2.    string          900
atNetAddress            1.3.6.1.2.1.3.1.1.3.    internet        900
ip                      1.3.6.1.2.1.4.          table           0
ip_group                1.3.6.1.2.1.4.          table           0
ipForwarding            1.3.6.1.2.1.4.1.        number          900
ipOutRequests           1.3.6.1.2.1.4.10.       counter         1
ipOutDiscards           1.3.6.1.2.1.4.11.       counter         1
ipOutNoRoutes           1.3.6.1.2.1.4.12.       counter         1
ipReasmTimeout          1.3.6.1.2.1.4.13.       number          1
ipReasmReqds            1.3.6.1.2.1.4.14.       counter         900
ipReasmOKs              1.3.6.1.2.1.4.15.       counter         1
ipReasmFails            1.3.6.1.2.1.4.16.       counter         1
ipFragOKs               1.3.6.1.2.1.4.17.       counter         1
ipFragFails             1.3.6.1.2.1.4.18.       counter         1
ipFragCreates           1.3.6.1.2.1.4.19.       counter         1
ipDefaultTTL            1.3.6.1.2.1.4.2.        number          900
ipAdEntAddr             1.3.6.1.2.1.4.20.1.1.   internet        900
ipAdEntIfIndex          1.3.6.1.2.1.4.20.1.2.   number          900
ipAdEntNetMask          1.3.6.1.2.1.4.20.1.3.   internet        900
ipAdEntBcastAddr        1.3.6.1.2.1.4.20.1.4.   number          900
ipAdEntReasmMaxSize     1.3.6.1.2.1.4.20.1.5.   number          900
ipRouteDest             1.3.6.1.2.1.4.21.1.1.   internet        10
ipRouteAge              1.3.6.1.2.1.4.21.1.10.  number          1
