ASSIST.ANT    assistant - Encryption Sources and the New Backup Moderator 
INDEX.        
INDX28V1.07   Index for comp.sources.misc, Volume1 through Volume7 
INDX28V1.21   Index for comp.sources.misc, Volume15 through Volume21 
INDX28V2.27   Index for comp.sources.misc, Volume22 through Volume27 
INDX28V8.14   Index for comp.sources.misc, Volume8 through Volume14 
INTRO28.      Accessing the archives 
INTRO28.      Archive access via email  
INTRO28.      Archive access via ftp 
INTRO28.      Archive access via uucp 
INTRO28.      Becoming an archive site 
INTRO28.      Deciding where to post your software 
INTRO28.      Extracting a retrieved archive member 
INTRO28.      Guidelines for submitting source for publication 
INTRO28.      Introduction 
INTRO28.      Introduction to comp.sources.misc 
INTRO28.      Listing of archive sites in no particular order 
INTRO28.      Newsgroup Status Information. 
INTRO28.      Patches Handling 
INTRO28.      Reporting and tracking bugs. 
INTRO28.      Special services  
INTRO28.      The structure of comp.sources.misc articles 
INTRO28.      are the three pieces of information that I really  
MKSHEET.ERR   mksheet patch01 posting error 
PATCHLOG.28   Index of Patches posted to comp.sources.misc 
