!
! FLIGHT - définition de monde
! Chaine des Puys (volcans d'Auvergne)    (c) Patrick MOREAU - May 1996
OPEN OBJECT="Chaine des Puys"
!
! FLIGHT - définition de monde
! Puy de Dôme                             (c) Patrick MOREAU - May 1996
! Altitude de la base = 3200 ft
! Altitude du sommet : 4850 ft
! Altitude second sommet : 4146 ft
OPEN SUBOBJECT="Puy de Dome"
POSITIONING 0.000  0.000  0.000  0.000  0.000  0.000

CHARACTERISTICS UNDETECTABLE

GEOMETRY COLOR "Forest Green"

GEOMETRY LOD 1 74.0
! Points 1 a 24 : Puy de Dome
! Points 25 a 35 : second sommet
GEOMETRY POINT     0 3499.88 -2290
GEOMETRY POINT -1640 3199.87 -1640
GEOMETRY POINT -2296 3199.87     0
GEOMETRY POINT -1837 3299.81  2165
GEOMETRY POINT     0 3299.84  2624
GEOMETRY POINT  2362 3199.79  1771
GEOMETRY POINT  2755 3199.82     0
GEOMETRY POINT  1509 3499.88 -1640
GEOMETRY POINT     0 4359.98  -984
GEOMETRY POINT  -722 4369.97  -787
GEOMETRY POINT  -984 4359.98     0
GEOMETRY POINT  -656 4379.98   787
GEOMETRY POINT     0 4369.98   984
GEOMETRY POINT   853 4359.97   787
GEOMETRY POINT  1312 4379.96     0
GEOMETRY POINT   853 4369.96  -918
GEOMETRY POINT     0 4799.99  -722
GEOMETRY POINT  -590 4819.98  -590
GEOMETRY POINT  -722 4829.99     0
GEOMETRY POINT  -460 4819.99   492
GEOMETRY POINT     0 4829.99   656
GEOMETRY POINT   656 4849.98   492
GEOMETRY POINT   984 4849.98     0
GEOMETRY POINT   656 4839.98  -656
GEOMETRY POINT  -918 3199.67 -3608
GEOMETRY POINT   787 3199.41 -4920
GEOMETRY POINT  2624 3179.28 -4854
GEOMETRY POINT  3018 3199.69 -1968
GEOMETRY POINT   656 3499.92 -1771
GEOMETRY POINT     0 3499.87 -2296
GEOMETRY POINT     0 3499.79 -2952
