Adm93101	=	Windows MT Administrative Tools	
Al193101	=	Windows NT Networking Overview		J. Allard@microsoft.com
Al293101	=	Windows NT and UNIX Interopera.		J. Allard@microsoft.com
Al393101	=	Services in Windows NT (TCP/IP)		J. Allard@microsoft.com
Be193101	=	Writing Multithreaded apps		D. Beaver
Be293101	=	Porting Windows and Motif		D. Beaver
Fre93101	=	Intl. Features of Windows NT		A. Freytag
He192101	=	Windows NT Systems Overview		D. Henrich
He293101	=	Windows NT Product set			D. Henrich
Her93101	=	Network Management			Hermes
Le193101	=	Windows NT Architecture			M. Lewin
Le293101	=	Performance Tuning Windows Apps		M. Lewin
Le393101	=	Taking Advantage of the Win32 API	M. Lewin
Mo193101	=	Making NT for UNIX users		B. Moran
Mo293101	=	ODBC					B. Moran
Mo393101	=	Windows Futures				B. Moran
MO493101	=	OLE					B. Moran
Ra193101	=	Windows NT SDK				B. Ramsey
Ra293101	=	Windows NT Security Model		B. Ramsey
Sat93101	=	User Interface Design			T. Satalich
Seg93101	=	MAPI					R. Segal
Ste93101	=	Win32s					T. Steele
Szo93101	=	MSDN Program				K. Szot
Tha93101	=	Windows NT				D. Thacher
