! FLIGHT
! Version modifiee de "American Cargo"
! Des surfaces solides ont ete rajoutees sur le pont et sur la passerelle
!
OPEN OBJECT="Cargo"

SIGNATURE RADAR  500,100,50 

VOLUME 40.000 150.000 0.000 0.000 4000.000/DESTROY=(SELFDESTRUCT)
VOLUME 40.000 -10.000 0.000 0.000 4000.000/DESTROY=(SELFDESTRUCT)
VOLUME 40.000 -170.000 0.000 0.000 4000.000/DESTROY=(SELFDESTRUCT)

GEOMETRY COLOR "Navy Blue"


GEOMETRY LOD  1 35.000

GEOMETRY POINT   250.0000    40.0000     0.0000
GEOMETRY POINT   245.0000    39.0000   -10.0000
GEOMETRY POINT   230.0000    38.0000   -22.0000
GEOMETRY POINT   210.0000    36.0000   -32.0000
GEOMETRY POINT   193.0000    33.0000   -37.0000
GEOMETRY POINT   183.0000    25.0000   -40.0000
GEOMETRY POINT  -194.0000    25.0000   -40.0000
GEOMETRY POINT  -200.0000    30.0000   -40.0000
GEOMETRY POINT  -227.0000    30.0000   -40.0000
GEOMETRY POINT  -244.0000    30.0000   -30.0000
GEOMETRY POINT  -250.0000    30.0000   -20.0000
GEOMETRY POINT  -250.0000    30.0000    20.0000
GEOMETRY POINT  -244.0000    30.0000    30.0000
GEOMETRY POINT  -227.0000    30.0000    40.0000
GEOMETRY POINT  -200.0000    30.0000    40.0000
GEOMETRY POINT  -194.0000    25.0000    40.0000
GEOMETRY POINT   183.0000    25.0000    40.0000
GEOMETRY POINT   193.0000    33.0000    37.0000
GEOMETRY POINT   210.0000    36.0000    32.0000
GEOMETRY POINT   230.0000    38.0000    22.0000
GEOMETRY POINT   245.0000    39.0000    10.0000
GEOMETRY POINT   240.0000    20.0000     0.0000
GEOMETRY POINT   235.0000     0.0000     0.0000
GEOMETRY POINT   190.0000     0.0000   -25.0000
GEOMETRY POINT   170.0000     0.0000   -30.0000
GEOMETRY POINT  -220.0000     0.0000   -30.0000
GEOMETRY POINT  -237.0000     0.0000   -19.0000
GEOMETRY POINT  -243.0000     0.0000   -10.0000
GEOMETRY POINT  -243.0000     0.0000    10.0000
GEOMETRY POINT  -237.0000     0.0000    19.0000
GEOMETRY POINT  -220.0000     0.0000    30.0000
GEOMETRY POINT   170.0000     0.0000    30.0000
GEOMETRY POINT   190.0000     0.0000    25.0000
GEOMETRY POINT  -245.0000    10.0000   -15.0000
GEOMETRY POINT  -245.0000    10.0000    15.0000

GEOMETRY LINE   1   2
GEOMETRY LINE   2   3
GEOMETRY LINE   3   4
GEOMETRY LINE   4   5
GEOMETRY LINE   5   6
GEOMETRY LINE   6   7
GEOMETRY LINE   7   8
GEOMETRY LINE   8   9
GEOMETRY LINE   9  10
GEOMETRY LINE  10  11
GEOMETRY LINE  11  12
GEOMETRY LINE  12  13
GEOMETRY LINE  13  14
GEOMETRY LINE  14  15
GEOMETRY LINE  15  16
GEOMETRY LINE  16  17
GEOMETRY LINE  17  18
GEOMETRY LINE  18  19
GEOMETRY LINE  19  20
GEOMETRY LINE  20  21
GEOMETRY LINE  21   1
GEOMETRY LINE   1  22
GEOMETRY LINE  22  23
GEOMETRY LINE  23  24
GEOMETRY LINE  24  25
GEOMETRY LINE  25  26
GEOMETRY LINE  26  27
GEOMETRY LINE  27  28
GEOMETRY LINE  28  29
GEOMETRY LINE  29  30
GEOMETRY LINE  30  31
GEOMETRY LINE  31  32
GEOMETRY LINE  32  33
GEOMETRY LINE  33  23
GEOMETRY LINE  11  34
GEOMETRY LINE  34  28
GEOMETRY LINE  12  35
GEOMETRY LINE  35  29
GEOMETRY LINE  18  33
GEOMETRY LINE   5  24
GEOMETRY LINE   9  26
GEOMETRY LINE  14  31


GEOMETRY LOD  2 7.000

GEOMETRY POINT   250.0000    40.0000     0.0000
GEOMETRY POINT   230.0000    38.0000   -22.0000
GEOMETRY POINT   193.0000    33.0000   -37.0000
GEOMETRY POINT   183.0000    25.0000   -40.0000
GEOMETRY POINT  -194.0000    25.0000   -40.0000
GEOMETRY POINT  -200.0000    30.0000   -40.0000
GEOMETRY POINT  -227.0000    30.0000   -40.0000
GEOMETRY POINT  -250.0000    30.0000   -20.0000
GEOMETRY POINT   230.0000    38.0000    22.0000
GEOMETRY POINT   193.0000    33.0000    37.0000
GEOMETRY POINT   183.0000    25.0000    40.0000
GEOMETRY POINT  -194.0000    25.0000    40.0000
GEOMETRY POINT  -200.0000    30.0000    40.0000
GEOMETRY POINT  -227.0000    30.0000    40.0000
GEOMETRY POINT  -250.0000    30.0000    20.0000
GEOMETRY POINT   235.0000     0.0000     0.0000
GEOMETRY POINT  -243.0000     0.0000     0.0000

GEOMETRY LINE   1   2
GEOMETRY LINE   2   3
GEOMETRY LINE   3   4
GEOMETRY LINE   4   5
GEOMETRY LINE   5   6
GEOMETRY LINE   6   7
GEOMETRY LINE   7   8
GEOMETRY LINE   1   9
GEOMETRY LINE   9  10
GEOMETRY LINE  10  11
GEOMETRY LINE  11  12
GEOMETRY LINE  12  13
GEOMETRY LINE  13  14
GEOMETRY LINE  14  15
GEOMETRY LINE   1  16
GEOMETRY LINE  16  17
GEOMETRY LINE   8  17
GEOMETRY LINE  15  17


GEOMETRY LOD  3 3.0

GEOMETRY POINT   250.0000    40.0000     0.0000
GEOMETRY POINT   183.0000    25.0000   -40.0000
GEOMETRY POINT  -250.0000    25.0000   -40.0000
GEOMETRY POINT  -250.0000    25.0000    40.0000
GEOMETRY POINT   183.0000    25.0000    40.0000

GEOMETRY LINE   1   2
GEOMETRY LINE   2   3
GEOMETRY LINE   3   4
GEOMETRY LINE   4   5
GEOMETRY LINE   5   1


OPEN SUBOBJECT="Command Platform"


POSITIONING -210.000  20.000  0.000  0.000  0.000  0.000

VOLUME 15.000  -10.000 15.000 0.000 600.000/DESTROY=(LOCALDESTRUCT)

GEOMETRY COLOR "Dark Slate Gray"


GEOMETRY LOD  1 10.000

GEOMETRY POINT   -30.0000     0.0000   -30.0000
GEOMETRY POINT   -30.0000     0.0000    30.0000
GEOMETRY POINT   -30.0000    25.0000   -30.0000
GEOMETRY POINT   -30.0000    25.0000    30.0000
GEOMETRY POINT   -30.0000    30.0000   -35.0000
GEOMETRY POINT   -30.0000    30.0000    35.0000
GEOMETRY POINT   -30.0000    40.0000   -35.0000
GEOMETRY POINT   -30.0000    40.0000    35.0000
GEOMETRY POINT    35.0000    40.0000   -35.0000
GEOMETRY POINT    35.0000    40.0000    35.0000
GEOMETRY POINT    35.0000    30.0000   -35.0000
GEOMETRY POINT    35.0000    30.0000    35.0000
GEOMETRY POINT    30.0000    25.0000   -30.0000
GEOMETRY POINT    30.0000    25.0000    30.0000
GEOMETRY POINT    30.0000     0.0000   -30.0000
GEOMETRY POINT    30.0000     0.0000    30.0000

GEOMETRY LINE   1   2
GEOMETRY LINE   3   4
GEOMETRY LINE   5   6
GEOMETRY LINE   7   8
GEOMETRY LINE   9  10
GEOMETRY LINE  11  12
GEOMETRY LINE  13  14
GEOMETRY LINE  15  16
GEOMETRY LINE   1   3
GEOMETRY LINE   3   5
GEOMETRY LINE   5   7
GEOMETRY LINE   2   4
GEOMETRY LINE   4   6
GEOMETRY LINE   6   8
GEOMETRY LINE   7   9
GEOMETRY LINE   8  10
GEOMETRY LINE   5  11
GEOMETRY LINE   6  12
GEOMETRY LINE   3  13
GEOMETRY LINE   4  14
GEOMETRY LINE   1  15
GEOMETRY LINE   2  16
GEOMETRY LINE  15  13
GEOMETRY LINE  13  11
GEOMETRY LINE  11   9
GEOMETRY LINE  16  14
GEOMETRY LINE  14  12
GEOMETRY LINE  12  10

GEOMETRY TRIANGLE  7  8  9 /ATTRIBITES=TERRAIN
GEOMETRY TRIANGLE  7  9 10 /ATTRIBUTES=TERRAIN
GEOMETRY TRIANGLE  3  4 13 /ATTRIBUTES=TERRAIN
GEOMETRY TRIANGLE  3 13 14 /ATTRIBUTES=TERRAIN

GEOMETRY LOD  2 3.500

GEOMETRY POINT   -30.0000     0.0000   -30.0000
GEOMETRY POINT   -30.0000     0.0000    30.0000
GEOMETRY POINT   -30.0000    40.0000   -35.0000
GEOMETRY POINT   -30.0000    40.0000    35.0000
GEOMETRY POINT    35.0000    40.0000   -35.0000
GEOMETRY POINT    35.0000    40.0000    35.0000
GEOMETRY POINT    30.0000     0.0000   -30.0000
GEOMETRY POINT    30.0000     0.0000    30.0000

GEOMETRY LINE   1   2
GEOMETRY LINE   3   4
GEOMETRY LINE   5   6
GEOMETRY LINE   7   8
GEOMETRY LINE   1   3
GEOMETRY LINE   2   4
GEOMETRY LINE   5   7
GEOMETRY LINE   8   6
GEOMETRY LINE   3   5
GEOMETRY LINE   6   4
GEOMETRY LINE   1   7
GEOMETRY LINE   8   2


GEOMETRY LOD  3 1.50

GEOMETRY POINT   -30.0000     0.0000     0.0000
GEOMETRY POINT   -30.0000    40.0000     0.0000
GEOMETRY POINT    35.0000    40.0000     0.0000
GEOMETRY POINT    30.0000     0.0000     0.0000

GEOMETRY LINE   1   2
GEOMETRY LINE   2   3
GEOMETRY LINE   3   4
GEOMETRY LINE   4   1


OPEN SUBOBJECT="Chimney"


POSITIONING -18.000  40.000  0.000  0.000  0.000  0.000

VOLUME 7.500 0.000 12.000 0.000 150.000/DESTROY=(LOCALDESTRUCT)

GEOMETRY COLOR "Black"


GEOMETRY LOD  1 5.000

GEOMETRY POINT    -2.5000     0.0000    -5.5000
GEOMETRY POINT    -2.5000     0.0000     5.5000
GEOMETRY POINT    -7.5000     0.0000    -2.5000
GEOMETRY POINT    -7.5000     0.0000     2.5000
GEOMETRY POINT    -7.5000    20.0000    -2.5000
GEOMETRY POINT    -7.5000    20.0000     2.5000
GEOMETRY POINT    -7.5000    25.0000    -2.5000
GEOMETRY POINT    -7.5000    25.0000     2.5000
GEOMETRY POINT    -2.5000    25.0000    -5.5000
GEOMETRY POINT    -2.5000    25.0000     5.5000
GEOMETRY POINT     2.5000    25.0000    -5.5000
GEOMETRY POINT     2.5000    25.0000     5.5000
GEOMETRY POINT     7.5000    25.0000    -2.5000
GEOMETRY POINT     7.5000    25.0000     2.5000
GEOMETRY POINT     7.5000    20.0000    -2.5000
GEOMETRY POINT     7.5000    20.0000     2.5000
GEOMETRY POINT     7.5000     0.0000    -2.5000
